setup,band,center_hz,gain_db,frequency_hz,contribution_db
Bajo,1,30,16.0,49.49530449921188,11.58203113290655
Bajo,1,30,16.0,49.67431248293936,11.575830334905913
Bajo,1,30,16.0,49.85396787875092,11.569581053833016
Bajo,1,30,16.0,50.03427302811982,11.563283223862872
Bajo,1,30,16.0,50.21523028098764,11.556936779349215
Bajo,1,30,16.0,50.39684199579493,11.55054165483734
Bajo,1,30,16.0,50.5791105395119,11.544097785077
Bajo,1,30,16.0,50.76203828766933,11.537605105035308
Bajo,1,30,16.0,50.94562762438948,11.531063549909714
Bajo,1,30,16.0,51.12988094241722,11.524473055141042
Bajo,1,30,16.0,51.31480064315113,11.517833556426504
Bajo,1,30,16.0,51.50038913667488,11.51114498973283
Bajo,1,30,16.0,51.6866488417886,11.504407291309388
Bajo,1,30,16.0,51.87358218604039,11.497620397701345
Bajo,1,30,16.0,52.06119160575802,11.490784245762892
Bajo,1,30,16.0,52.24947954608062,11.483898772670473
Bajo,1,30,16.0,52.43844846099058,11.476963915936063
Bajo,1,30,16.0,52.6281008133455,11.469979613420465
Bajo,1,30,16.0,52.818439074910366,11.462945803346663
Bajo,1,30,16.0,53.00946572638965,11.455862424313164
Bajo,1,30,16.0,53.20118325745975,11.448729415307406
Bajo,1,30,16.0,53.39359416680138,11.441546715719166
Bajo,1,30,16.0,53.58670096213211,11.434314265354002
Bajo,1,30,16.0,53.78050616023916,11.427032004446708
Bajo,1,30,16.0,53.975012287012085,11.419699873674812
Bajo,1,30,16.0,54.1702218774757,11.41231781417206
Bajo,1,30,16.0,54.36613747582325,11.404885767541948
Bajo,1,30,16.0,54.562761635449405,11.397403675871265
Bajo,1,30,16.0,54.76009691898362,11.389871481743622
Bajo,1,30,16.0,54.958145898323565,11.382289128253028
Bajo,1,30,16.0,55.15691115466856,11.374656559017458
Bajo,1,30,16.0,55.35639527855328,11.366973718192444
Bajo,1,30,16.0,55.55660086988149,11.35924055048466
Bajo,1,30,16.0,55.75753053795998,11.351457001165521
Bajo,1,30,16.0,55.95918690153245,11.34362301608478
Bajo,1,30,16.0,56.16157258881378,11.335738541684135
Bajo,1,30,16.0,56.36469023752424,11.32780352501083
Bajo,1,30,16.0,56.56854249492381,11.319817913731269
Bajo,1,30,16.0,56.77313201784671,11.311781656144607
Bajo,1,30,16.0,56.97846147273613,11.303694701196337
Bajo,1,30,16.0,57.1845335356788,11.295556998491904
Bajo,1,30,16.0,57.39135089244001,11.287368498310277
Bajo,1,30,16.0,57.59891623849855,11.27912915161751
Bajo,1,30,16.0,57.807232279081866,11.270838910080322
Bajo,1,30,16.0,58.0163017292013,11.262497726079623
Bajo,1,30,16.0,58.2261273136875,11.254105552724074
Bajo,1,30,16.0,58.43671176722588,11.245662343863573
Bajo,1,30,16.0,58.64805783439233,11.237168054102778
Bajo,1,30,16.0,58.86016826968897,11.228622638814558
Bajo,1,30,16.0,59.073045837579976,11.220026054153474
Bajo,1,30,16.0,59.2866933125277,11.211378257069178
Bajo,1,30,16.0,59.50111347902884,11.20267920531984
Bajo,1,30,16.0,59.71630913165059,11.193928857485506
Bajo,1,30,16.0,59.93228307506725,11.185127172981462
Bajo,1,30,16.0,60.14903812409667,11.176274112071521
Bajo,1,30,16.0,60.36657710373692,11.167369635881323
Bajo,1,30,16.0,60.58490284920315,11.158413706411572
Bajo,1,30,16.0,60.8040182059646,11.149406286551237
Bajo,1,30,16.0,61.02392602978153,11.140347340090727
Bajo,1,30,16.0,61.24462918674261,11.131236831735007
Bajo,1,30,16.0,61.46613055330214,11.122074727116694
Bajo,1,30,16.0,61.68843301631763,11.112860992809068
Bajo,1,30,16.0,61.91153947308737,11.103595596339096
Bajo,1,30,16.0,62.13545283138821,11.094278506200348
Bajo,1,30,16.0,62.36017600951348,11.084909691865896
Bajo,1,30,16.0,62.58571193631096,11.07548912380115
Bajo,1,30,16.0,62.81206355122115,11.066016773476644
Bajo,1,30,16.0,63.03923380431546,11.05649261338076
Bajo,1,30,16.0,63.26722565633477,11.046916617032391
Bajo,1,30,16.0,63.49604207872798,11.037288758993569
Bajo,1,30,16.0,63.72568605369067,11.027609014881977
Bajo,1,30,16.0,63.95616057420408,11.017877361383464
Bajo,1,30,16.0,64.18746864407406,11.008093776264438
Bajo,1,30,16.0,64.41961327797017,10.998258238384233
Bajo,1,30,16.0,64.65259750146508,10.988370727707363
Bajo,1,30,16.0,64.88642435107393,10.978431225315752
Bajo,1,30,16.0,65.12109687429391,10.968439713420857
