pair,event,window,band,delta_db,match_cost
B_open,2,80-160ms,60-150,-16.319388850668346,1.6912885252330219
B_open,2,80-160ms,150-500,-11.238512509555477,1.6912885252330219
B_open,2,80-160ms,500-2000,11.7245726279276,1.6912885252330219
B_open,2,80-160ms,2000-5000,-18.975451272723603,1.6912885252330219
B_open,2,80-160ms,5000-10000,-17.168632187876284,1.6912885252330219
B_open,3,0-5ms,20-60,-19.89825932343267,1.3007010260255283
B_open,3,0-5ms,60-150,-19.673952887954542,1.3007010260255283
B_open,3,0-5ms,150-500,-19.867716937293217,1.3007010260255283
B_open,3,0-5ms,500-2000,-14.925133074425702,1.3007010260255283
B_open,3,0-5ms,2000-5000,-15.231646927127116,1.3007010260255283
B_open,3,0-5ms,5000-10000,-19.40274231527067,1.3007010260255283
B_open,3,5-10ms,20-60,-13.773415947526622,1.3007010260255283
B_open,3,5-10ms,60-150,-13.910269309759329,1.3007010260255283
B_open,3,5-10ms,150-500,-13.49582189457464,1.3007010260255283
B_open,3,5-10ms,500-2000,-5.686783908004784,1.3007010260255283
B_open,3,5-10ms,2000-5000,-12.601026120366896,1.3007010260255283
B_open,3,5-10ms,5000-10000,-20.41714684975608,1.3007010260255283
B_open,3,10-20ms,20-60,-9.468357630707644,1.3007010260255283
B_open,3,10-20ms,60-150,-9.606036491878612,1.3007010260255283
B_open,3,10-20ms,150-500,-8.32473088275352,1.3007010260255283
B_open,3,10-20ms,500-2000,-9.271581194478536,1.3007010260255283
B_open,3,10-20ms,2000-5000,-11.816915033250439,1.3007010260255283
B_open,3,10-20ms,5000-10000,-11.860962930179355,1.3007010260255283
B_open,3,20-40ms,20-60,-18.60677027577266,1.3007010260255283
B_open,3,20-40ms,60-150,-18.153557690977145,1.3007010260255283
B_open,3,20-40ms,150-500,-21.096372213489097,1.3007010260255283
B_open,3,20-40ms,500-2000,-8.340821873872038,1.3007010260255283
B_open,3,20-40ms,2000-5000,-20.919642508602863,1.3007010260255283
B_open,3,20-40ms,5000-10000,-22.514124487632202,1.3007010260255283
B_open,3,40-80ms,20-60,-14.603055314458771,1.3007010260255283
B_open,3,40-80ms,60-150,-14.06849359169485,1.3007010260255283
B_open,3,40-80ms,150-500,-13.62652585011783,1.3007010260255283
B_open,3,40-80ms,500-2000,8.608652749662667,1.3007010260255283
B_open,3,40-80ms,2000-5000,-12.461563571171851,1.3007010260255283
B_open,3,40-80ms,5000-10000,-12.545655016782149,1.3007010260255283
B_open,3,80-160ms,20-60,-15.159953660566615,1.3007010260255283
B_open,3,80-160ms,60-150,-14.583767178298483,1.3007010260255283
