pair,event,phase,f0_cafe_hz,f0_azul_hz,amplitude_cafe,amplitude_azul,delta_db,snr_cafe,snr_azul
B_open,28,attack,30.87915104506115,30.8675303284466,0.006476706277355874,0.00175532688354654,-11.339923953965048,-7.9444818068464995,-5.823250931830197
B_open,28,stabilization,30.87915104506115,30.8675303284466,0.014316655816825457,0.0024067988145511404,-15.48803590814481,-4.92340883405534,-2.6341408100720898
B_open,28,body,30.87915104506115,30.8675303284466,0.013104650853442854,0.0021258528870397105,-15.797844946132741,0.8342569639080919,0.6824563028170367
B_open,28,sustain,30.87915104506115,30.8675303284466,0.012322945795273502,0.0018114026480227992,-16.65399079750874,0.691345672992902,0.8058270120519817
B_open,28,decay,30.87915104506115,30.8675303284466,0.012029002989231185,0.0016739226614985805,-17.129884878835654,-0.028431745488054456,0.03535439197371066
B_open,29,attack,30.88582639368175,30.814450700001498,0.020348089183145793,0.002051824919526319,-19.927666647598016,-1.345258238616179,-4.267177280416875
B_open,29,stabilization,30.88582639368175,30.814450700001498,0.018838318008868895,0.0018363577279893355,-20.221696739142402,-2.9418919148611034,-6.969529789656899
B_open,29,body,30.88582639368175,30.814450700001498,0.018054422364284464,0.0018261289682006934,-19.90104304581304,0.5362633629910553,0.989209304975231
B_open,29,sustain,30.88582639368175,30.814450700001498,0.016933983634665074,0.001644340331562254,-20.255348532868844,0.6941249746208948,0.8166172788688352
B_open,29,decay,30.88582639368175,30.814450700001498,0.016302638399145072,0.0016732157139744432,-19.774119223715388,0.26312371545474716,0.00452115623372511
B_open,30,attack,30.93934886930707,30.794844771773832,0.011811141976784121,0.002942686466030944,-12.07095796313832,-3.2168233098234933,-3.127556608451753
B_open,30,stabilization,30.93934886930707,30.794844771773832,0.012762971780092119,0.0027358150536877473,-13.377301481481084,-3.166243708308538,-4.492985556646624
B_open,30,body,30.93934886930707,30.794844771773832,0.0107566115933668,0.002579937488523387,-12.40132607840468,0.4707482687700149,0.8201947704406545
B_open,30,sustain,30.93934886930707,30.794844771773832,0.009764470859027947,0.002316969464338975,-12.494568069036411,0.76530501354647,0.8824634082153416
B_open,30,decay,30.93934886930707,30.794844771773832,0.009267157940662516,0.002306010500167956,-12.081705686242628,0.6161243856183636,-0.02636941585639358
B_open,31,attack,30.87808510686006,30.817083789784704,0.020341030725281244,0.004297909699408111,-13.502313384803884,-0.4871184233047463,-0.7838950280065489
B_open,31,stabilization,30.87808510686006,30.817083789784704,0.019868713807651955,0.0038375329542845145,-14.28235272429044,0.1525314198626325,-2.3402616775382428
B_open,31,body,30.87808510686006,30.817083789784704,0.01788068726277398,0.00364244699089688,-13.819819344153451,0.562932416723141,0.6651834433646135
B_open,31,sustain,30.87808510686006,30.817083789784704,0.016081949904426934,0.003282681296715411,-13.802199684047665,0.6960306824578066,0.7818763389894374
B_open,31,decay,30.87808510686006,30.817083789784704,0.015064563563381381,0.0032695668816130727,-13.269326571629769,0.3695927548223992,0.025392069087424224
B_open,32,attack,30.853958234427083,30.88179642538096,0.012809126706776013,0.0024846642847659904,-14.245036086206447,-1.1837351641126106,-2.186688601751161
B_open,32,stabilization,30.853958234427083,30.88179642538096,0.012309466828739546,0.002329891100518989,-14.458072396702484,-2.4077935472374583,-4.401437592912257
B_open,32,body,30.853958234427083,30.88179642538096,0.011077774990579116,0.0021054955652580714,-14.4219641717361,0.4280221812745552,0.43022446182374496
B_open,32,sustain,30.853958234427083,30.88179642538096,0.009975154806324365,0.0018976855417640486,-14.413907910787351,0.6255873777074628,0.6403268610744763
B_open,32,decay,30.853958234427083,30.88179642538096,0.009065361073722567,0.0017323170883761488,-14.375154345134263,0.4782009051323698,0.5596536059202382
B_open,33,attack,30.889638775803167,30.836750467782345,0.01237962227955225,0.0036037218159902205,-10.719122700950393,-2.1942453178390062,-0.32181238856792366
B_open,33,stabilization,30.889638775803167,30.836750467782345,0.010792317070673244,0.0033120489688977465,-10.260358937594738,-6.752078508325095,-1.8408433786684917
B_open,33,body,30.889638775803167,30.836750467782345,0.010794828497384636,0.0031065260832904788,-10.81881484908088,0.6104465600464913,0.6159261342982716
B_open,33,sustain,30.889638775803167,30.836750467782345,0.010242104497396785,0.0028039215164419704,-11.252466984496785,0.7149586436288297,0.7947811239953894
B_open,33,decay,30.889638775803167,30.836750467782345,0.00977736830880549,0.002658505251592998,-11.311689052115355,0.03715860384752185,0.0427149082256819
B_open,34,attack,30.86170725674493,30.875290588905273,0.009444726729229719,0.0037961814178079094,-7.9168487541821335,-0.4020792516385316,-1.3364529535326892
B_open,34,stabilization,30.86170725674493,30.875290588905273,0.008252435821314227,0.003323195076634253,-7.900526395132232,-1.5184542777204355,-4.293725010172824
B_open,34,body,30.86170725674493,30.875290588905273,0.007910220101046826,0.0031588880226273604,-7.973086734194489,0.488482641834779,0.6215208136695308
B_open,34,sustain,30.86170725674493,30.875290588905273,0.007261210471025785,0.002866814035983983,-8.07219006273484,0.7090141008186585,0.7727463821186243
B_open,34,decay,30.86170725674493,30.875290588905273,0.006671100776429928,0.0027654109157509757,-7.648756571158714,0.5082256134677536,0.025129555296417912
B_open,35,attack,30.871482281585653,30.847905295198164,0.012081169453357339,0.004651301423347688,-8.290689828123256,-0.8260956119349876,-0.32322777078683146
B_open,35,stabilization,30.871482281585653,30.847905295198164,0.012010595410740376,0.004228173389690076,-9.068234978678426,-2.228959867938421,-1.9564837712588412
B_open,35,body,30.871482281585653,30.847905295198164,0.010954241813367445,0.004021978902846177,-8.702850709985057,0.4412228776896763,0.5809531814138205
B_open,35,sustain,30.871482281585653,30.847905295198164,0.00998165356657457,0.0036546867926653395,-8.727046579086569,0.5697268194745857,0.7190479041151326
B_open,35,decay,30.871482281585653,30.847905295198164,0.009226651467180508,0.0035473532340801147,-8.302793587057216,0.4515441482450281,0.17082549888763368
B_open,36,attack,30.862931729899582,30.870544569477282,0.002225921897646648,0.0020745009555748514,-0.6119256536523494,-5.290718205083622,-1.8316463571319925
