setup,run,frequency_hz,transfer_db,median_snr_db
Bajo,1,62.36017600951348,15.530148727101878,40.71202734302362
Bajo,1,62.58571193631096,15.52434999780641,40.37831034715204
Bajo,1,62.81206355122115,15.51939443849029,40.03244567842351
Bajo,1,63.03923380431546,15.51512935100568,39.81407647981683
Bajo,1,63.26722565633477,15.511201734200812,39.83612010267332
Bajo,1,63.49604207872798,15.50709542153132,40.0278378114844
Bajo,1,63.72568605369067,15.502219904823455,40.14323139178051
Bajo,1,63.956160574204084,15.496023875302663,40.07252723581144
Bajo,1,64.18746864407406,15.488100498060355,39.991339779832614
Bajo,1,64.41961327797017,15.478257430757534,39.8929882691058
Bajo,1,64.65259750146508,15.466538446381419,39.80973153040896
Bajo,1,64.88642435107393,15.45319831513223,39.847983213090856
Bajo,1,65.12109687429391,15.43864275910725,40.06344752377366
Bajo,1,65.35661812964399,15.423349610094828,40.65388932357846
Bajo,1,65.5929911867048,15.407787157476305,41.393070566777936
Bajo,1,65.8302191261586,15.392344100845715,41.781237073662396
Bajo,1,66.06830503982944,15.377283721328203,41.49671230529067
Bajo,1,66.3072520307235,15.362731347313517,40.88648719571445
Bajo,1,66.54706321306945,15.348697602998165,40.29546756518826
Bajo,1,66.78774171235914,15.335130118711081,39.706585672780555
Bajo,1,67.02929066538825,15.321976688860392,39.36418631315291
Bajo,1,67.27171322029716,15.309238407307387,39.14339969593496
Bajo,1,67.5150125366121,15.296994543396563,38.754794950547804
Bajo,1,67.75919178528623,15.285391946771936,38.432349976128314
Bajo,1,68.00425414874094,15.274605280777546,38.556549162631114
Bajo,1,68.25020282090742,15.26478403542262,39.278465542755754
Bajo,1,68.49704100726824,15.256004416074624,40.33906551504269
Bajo,1,68.74477192489911,15.248239621195932,41.06850982079272
Bajo,1,68.99339880251085,15.241354439045615,41.26271288290293
Bajo,1,69.24292488049144,15.235124068030204,40.08787789299976
Bajo,1,69.49335341094825,15.229273359230035,39.215595982702965
Bajo,1,69.74468765775045,15.22352970708235,39.05976486066873
Bajo,1,69.99693089657153,15.217677913177232,39.21208890160122
Bajo,1,70.25008641493199,15.21159951281994,39.77175255986519
Bajo,1,70.50415751224219,15.205276900996981,39.8933905884717
Bajo,1,70.7591474998454,15.198750674842701,40.2800682126194
Bajo,1,71.01505970106085,15.192037308935074,40.69907113558972
Bajo,1,71.27189745122715,15.185036860650158,40.52956967427248
Bajo,1,71.52966409774568,15.177474521342678,40.04754178420856
Bajo,1,71.78836300012429,15.168914277001107,39.653591454743854
Bajo,1,72.04799753002101,15.158856453855686,39.37108767158394
Bajo,1,72.30857107128809,15.146894043850745,39.111507300552
Bajo,1,72.57008702001595,15.132872920872954,39.0951121060108
Bajo,1,72.83254878457763,15.116993862461548,39.226459756455924
Bajo,1,73.09595978567305,15.099813389959747,39.44781543534964
Bajo,1,73.36032345637369,15.082137864633594,39.5619835840597
Bajo,1,73.62564324216731,15.064845413386958,39.0711437564393
Bajo,1,73.89192260100285,15.048695963071141,38.491374233923494
Bajo,1,74.15916500333542,15.034190969489291,38.03808107399111
Bajo,1,74.42737393217172,15.021521301086297,37.885625286232155
Bajo,1,74.69655288311527,15.01060477715669,37.93687793686817
Bajo,1,74.966705364412,15.001180952131126,38.26788057011612
Bajo,1,75.23783489699602,14.992915731894874,38.93101267451065
Bajo,1,75.50994501453548,14.985477608574918,39.65808118422369
Bajo,1,75.78303926347863,14.978573578070577,40.05771995932507
Bajo,1,76.05712120310001,14.971958059874822,39.922800282197855
Bajo,1,76.33219440554694,14.965437592434572,39.83628152379047
Bajo,1,76.60826245588589,14.958884528719983,39.862756039186735
Bajo,1,76.88532895214942,14.952253501189166,39.76546418344164
Bajo,1,77.16339750538295,14.94558154766533,39.12829341531566
Bajo,1,77.44247173969177,14.938956087395429,38.54915896466355
Bajo,1,77.72255529228846,14.932452746943127,38.41404816446398
Bajo,1,78.00365181354013,14.926065337389563,38.88041554688557
Bajo,1,78.28576496701601,14.919659954524882,39.52956048281824
